dept_code,title_en,title_fr,name,name_en,name_fr,start_date,end_date,witness_id,deadline
MMCP,Minister of Middle Class Prosperity,Ministre de la Prospérité de la classe moyenne,Mona Fortier,"Fortier, Mona (Hon.)","Fortier, Mona (L’hon.)",2019-11-20T15:00:00,2021-10-26T10:29:59,278907,2020-03-19T15:00:00
MMHA,Minister of Mental Health and Addictions,Ministre de la santé mentale et des dépendances,Ya'ara Saks,"Saks, Ya'ara (Hon.)","Saks, Ya'ara (L’hon.)",2023-07-26T10:30:00,,300007,2023-11-23T10:30:00
MMHA,Minister of Mental Health and Addictions,Ministre de la santé mentale et des dépendances,Carolyn Bennett,"Bennett, Carolyn (Hon.)","Bennett, Carolyn (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,278939,2022-02-23T10:30:00
MNA,Minister of Northern Affairs,Ministre des Affaires du Nord,Dan Vandal,"Vandal, Dan (Hon.)","Vandal, Dan (L’hon.)",2019-11-20T15:00:00,,253397,2020-03-19T15:00:00
MND,Minister of National Defence,Ministre de la Défense nationale,Bill Blair,"Blair, Bill (Hon.)","Blair, Bill (L’hon.)",2023-07-26T10:30:00,,278903,2023-11-23T10:30:00
MND,Minister of National Defence,Ministre de la Défense nationale,Anita Anand,"Anand, Anita (Hon.)","Anand, Anita (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,300030,2022-02-23T10:30:00
MND,Minister of National Defence,Ministre de la Défense nationale,Harjit S. Sajjan,"Sajjan, Harjit S. (Hon.)","Sajjan, Harjit S. (L’hon.)",2015-11-04T10:45:00,2021-10-26T10:29:59,300020,2016-03-03T10:45:00
MNR,Minister of National Revenue,Ministre du Revenu national,Marie-Claude Bibeau,"Bibeau, Marie-Claude (Hon.)","Bibeau, Marie-Claude (L’hon.)",2023-07-26T10:30:00,,,2023-11-23T10:30:00
MNR,Minister of National Revenue,Ministre du Revenu national,Diane Lebouthillier,"Lebouthillier, Diane (Hon.)","Lebouthillier, Diane (L’hon.)",2015-11-04T10:45:00,2023-07-26T10:29:59,278637,2016-03-03T10:45:00
MNR1,Minister of Natural Resources,Ministre des Ressources naturelles,Jonathan Wilkinson,"Wilkinson, Jonathan (Hon.)","Wilkinson, Jonathan (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,278937,2022-02-23T10:30:00
MNR1,Minister of Natural Resources,Ministre des Ressources naturelles,Seamus O'Regan,"O'Regan, Seamus (Hon.)","O'Regan, Seamus (L’hon.)",2019-11-20T15:00:00,2021-10-26T10:29:59,253374,2020-03-19T15:00:00
MOL,Minister of Official Languages,Ministre des Langues officielles,Ginette Petitpas Taylor,"Petitpas Taylor, Ginette (Hon.)","Petitpas Taylor, Ginette (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,300036,2022-02-23T10:30:00
MOL,Minister of Official Languages,Ministre des Langues officielles,Mélanie Joly,"Joly, Mélanie (Hon.)","Joly, Mélanie (L’hon.)",2019-11-20T15:00:00,2021-10-26T10:29:59,253380,2020-03-19T15:00:00
MPS,Minister of Public Safety,Ministre de la sécurité publique,Marco Mendicino,"Mendicino, Marco (Hon.)","Mendicino, Marco (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,278921,2022-02-23T10:30:00
MPSDIIA,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs","Ministre de la sécurité publique, des institutions démocratiques et des affaires intergouvernementales",Dominic LeBlanc,"LeBlanc, Dominic (Hon.)","LeBlanc, Dominic (L’hon.)",2023-07-26T10:30:00,,263834,2023-11-23T10:30:00
MPSEP,Minister of Public Safety and Emergency Preparedness,Ministre de la Sécurité publique et de la Protection civile,Bill Blair,"Blair, Bill (Hon.)","Blair, Bill (L’hon.)",2019-11-20T15:00:00,2021-10-26T10:29:59,278903,2020-03-19T15:00:00
MPSP,Minister of Public Services and Procurement,Ministre des Services publics et de l’Approvisionnement,Jean-Yves Duclos,"Duclos, Jean-Yves (Hon.)","Duclos, Jean-Yves (L’hon.)",2023-07-26T10:30:00,,253369,2023-11-23T10:30:00
MPSP,Minister of Public Services and Procurement,Ministre des Services publics et de l’Approvisionnement,Helena Jaczek,"Jaczek, Helena (Hon.)","Jaczek, Helena (L’hon.)",2022-08-31T10:30:01,2023-07-26T10:29:59,,2022-12-29T10:30:01
MPSP,Minister of Public Services and Procurement,Ministre des Services publics et de l’Approvisionnement,Filomena Tassi,"Tassi, Filomena (Hon.)","Tassi, Filomena (L’hon.)",2021-10-26T10:30:00,2022-08-31T10:30:00,,2022-02-23T10:30:00
MPSP,Minister of Public Services and Procurement,Ministre des Services publics et de l’Approvisionnement,Anita Anand,"Anand, Anita (Hon.)","Anand, Anita (L’hon.)",2019-11-20T15:00:00,2021-10-26T10:29:59,300030,2020-03-19T15:00:00
MRACOA,Minister responsible for the Atlantic Canada Opportunities Agency,Ministre responsable de l’agence de promotion économique du canada atlantique,Gudie Hutchings,"Hutchings, Gudie (Hon.)","Hutchings, Gudie (L’hon.)",2023-07-26T10:30:00,,278915,2023-11-23T10:30:00
MRACOA,Minister responsible for the Atlantic Canada Opportunities Agency,Ministre responsable de l’agence de promotion économique du canada atlantique,Ginette Petitpas Taylor,"Petitpas Taylor, Ginette (Hon.)","Petitpas Taylor, Ginette (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,300036,2022-02-23T10:30:00
MRCNEDA,Minister responsible for the Canadian Northern Economic Development Agency,Ministre responsable de l’agence canadienne de développement économique du nord,Dan Vandal,"Vandal, Dan (Hon.)","Vandal, Dan (L’hon.)",2021-10-26T10:30:00,,253397,2022-02-23T10:30:00
MRED,Minister of Rural Economic Development,Ministre du Développement économique rural,Gudie Hutchings,"Hutchings, Gudie (Hon.)","Hutchings, Gudie (L’hon.)",2021-10-26T10:30:00,,278915,2022-02-23T10:30:00
MRED,Minister of Rural Economic Development,Ministre du Développement économique rural,Maryam Monsef,"Monsef, Maryam (Hon.)","Monsef, Maryam (L’hon.)",2019-11-20T15:00:00,2021-10-26T10:29:59,253407,2020-03-19T15:00:00
MREDACRQ,Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Ministre responsable de l’agence de développement économique du canada pour les régions du québec,Soraya Martinez Ferrada,"Martinez Ferrada, Soraya (Hon.)","Martinez Ferrada, Soraya (L’hon.)",2023-07-26T10:30:00,,,2023-11-23T10:30:00
MREDACRQ,Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Ministre responsable de l’agence de développement économique du canada pour les régions du québec,Pascale St-Onge,"St-Onge, Pascale (Hon.)","St-Onge, Pascale (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,278949,2022-02-23T10:30:00
MRFEDANO,Minister responsible for the Federal Economic Development Agency for Northern Ontario,Ministre responsable de l’agence fédérale de développement économique pour le nord de l’ontario,Patty Hajdu,"Hajdu, Patty (Hon.)","Hajdu, Patty (L’hon.)",2021-10-26T10:30:00,,278911,2022-02-23T10:30:00
MRFEDASO,Minister responsible for the Federal Economic Development Agency for Southern Ontario,Ministre responsable de l’agence fédérale de développement économique pour le sud de l’ontario,Filomena Tassi,"Tassi, Filomena (Hon.)","Tassi, Filomena (L’hon.)",2022-08-31T10:30:01,,,2022-12-29T10:30:01
MRFEDASO,Minister responsible for the Federal Economic Development Agency for Southern Ontario,Ministre responsable de l’agence fédérale de développement économique pour le sud de l’ontario,Helena Jaczek,"Jaczek, Helena (Hon.)","Jaczek, Helena (L’hon.)",2021-10-26T10:30:00,2022-08-31T10:30:00,,2022-02-23T10:30:00
MRPEDAC,Minister responsible for the Pacific Economic Development Agency of Canada,Ministre responsable de l’agence de développement économique du pacifique canada,Harjit S. Sajjan,"Sajjan, Harjit S. (Hon.)","Sajjan, Harjit S. (L’hon.)",2021-10-26T10:30:00,,300020,2022-02-23T10:30:00
MRPEDC,Minister responsible for Prairies Economic Development Canada,Ministre responsable de développement économique canada pour les prairies,Dan Vandal,"Vandal, Dan (Hon.)","Vandal, Dan (L’hon.)",2021-10-26T10:30:00,,253397,2022-02-23T10:30:00
MS,Minister of Seniors,Ministre des Aînés,Kamal Khera,"Khera, Kamal (Hon.)","Khera, Kamal (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,278919,2022-02-23T10:30:00
MS,Minister of Seniors,Ministre des Aînés,Deb Schulte,"Schulte, Deb (Hon.)","Schulte, Deb (L’hon.)",2019-11-20T15:00:00,2021-10-26T10:29:59,253377,2020-03-19T15:00:00
MS1,Minister of Sport,Ministre des sports,Pascale St-Onge,"St-Onge, Pascale (Hon.)","St-Onge, Pascale (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,278949,2022-02-23T10:30:00
MSB,Minister of Small Business,Ministre de la petite entreprise,Rechie Valdez,"Valdez, Rechie (Hon.)","Valdez, Rechie (L’hon.)",2023-07-26T10:30:00,,300000,2023-11-23T10:30:00
