Witness ID,Witness Name,Title,Organization,Meeting Name,Date,Time,Acronym,Notice Link,Evidence Link,Minutes Link
88290,Ms. Joanne De Laurentiis,", President and Chief Executive Officer",Investment Funds Institute of Canada,INDU,"Monday, September 28, 2009",3:30 p.m. - 6:27 p.m. (EDT),INDU,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/INDU/meeting-34/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/INDU/meeting-34/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/INDU/meeting-34/minutes
88282,Mr. Spencer Keys,", Executive Director",Alliance of Nova Scotia Student Associations,FINA,"Tuesday, October 24, 2006",9:01 a.m. - 12:03 p.m. (ADT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-40/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-40/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-40/minutes
88288,Mr. Jack Frost,", Dominion President",Royal Canadian Legion,ACVA,"Tuesday, May 1, 2007",9:04 a.m. - 10:51 a.m. (EDT),ACVA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ACVA/meeting-38/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ACVA/meeting-38/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ACVA/meeting-38/minutes
88288,Mr. Jack Frost,", Dominion President",Royal Canadian Legion,ACVA,"Tuesday, May 1, 2007",3:34 p.m. - 5:18 p.m. (EDT),ACVA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ACVA/meeting-12/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ACVA/meeting-12/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ACVA/meeting-12/minutes
88288,Mr. Jack Frost,", Dominion President",Royal Canadian Legion,FINA,"Tuesday, May 1, 2007",10:08 a.m. - 1:01 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-15/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-15/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-15/minutes
88288,Mr. Jack Frost,", Dominion President",Royal Canadian Legion,ACVA,"Monday, October 16, 2006",3:34 p.m. - 5:18 p.m. (EDT),ACVA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ACVA/meeting-12/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ACVA/meeting-12/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/ACVA/meeting-12/minutes
88288,Mr. Jack Frost,", Dominion President",Royal Canadian Legion,FINA,"Monday, October 16, 2006",10:08 a.m. - 1:01 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-15/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-15/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-15/minutes
88288,Mr. Jack Frost,", Dominion President",Royal Canadian Legion,FINA,"Tuesday, September 19, 2006",10:08 a.m. - 1:01 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-15/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-15/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-15/minutes
88319,Ms. Amanda Aziz,", National Chair",Canadian Federation of Students,FINA,"Thursday, September 28, 2006",10:03 a.m. - 12:59 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-25/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-25/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-25/minutes
88318,Mr. Mario Tremblay,", Vice-President",Fonds de solidarité des travailleurs du Québec,FINA,"Wednesday, October 18, 2017",8:46 a.m. - 12:40 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/42-1/FINA/meeting-117/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/42-1/FINA/meeting-117/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/42-1/FINA/meeting-117/minutes
