department_code,department_name_en,department_name_fr,minister_name,minister_name_en,minister_name_fr,start_date,end_date,witness_id
MIAIC,"Minister of Intergovernmental Affairs, Infrastructure and Communities","Ministre des affaires intergouvernementales, de l’infrastructure et des collectivités",Dominic LeBlanc,"LeBlanc, Dominic (Hon.)","LeBlanc, Dominic (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278920.0
MIC,Minister of Infrastructure and Communities,Ministre de l'Infrastructure et des Collectivités,Catherine McKenna,"McKenna, Catherine (Hon.)","McKenna, Catherine (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253366.0
MID,Minister of International Development,Ministre du Développement international,Ahmed Hussen,"Hussen, Ahmed (Hon.)","Hussen, Ahmed (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300012.0
MID,Minister of International Development,Ministre du Développement international,Harjit S. Sajjan,"Sajjan, Harjit S. (Hon.)","Sajjan, Harjit S. (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278950.0
MID,Minister of International Development,Ministre du Développement international,Karina Gould,"Gould, Karina (Hon.)","Gould, Karina (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253393.0
MIRC,"Minister of Immigration, Refugees and Citizenship","Ministre de l’Immigration, des Réfugiés et de la Citoyenneté",Marc Miller,"Miller, Marc (Hon.)","Miller, Marc (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300022.0
MIRC,"Minister of Immigration, Refugees and Citizenship","Ministre de l’Immigration, des Réfugiés et de la Citoyenneté",Sean Fraser,"Fraser, Sean (Hon.)","Fraser, Sean (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278908.0
MIRC,"Minister of Immigration, Refugees and Citizenship","Ministre de l’Immigration, des Réfugiés et de la Citoyenneté",Marco Mendicino,"Mendicino, Marco (Hon.)","Mendicino, Marco (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253396.0
MIS,Minister of Indigenous Services,Ministre des Services aux Autochtones,Patty Hajdu,"Hajdu, Patty (Hon.)","Hajdu, Patty (L’hon.)",2021-10-26 10:30:00,2100-01-01 00:00:00,278911.0
MIS,Minister of Indigenous Services,Ministre des Services aux Autochtones,Marc Miller,"Miller, Marc (Hon.)","Miller, Marc (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253378.0
MISI,"Minister of Innovation, Science and Industry","Ministre de l'Innovation, des Sciences et de l'Industrie",François-Philippe Champagne,"Champagne, François-Philippe (Hon.)","Champagne, François-Philippe (L’hon.)",2021-01-12 00:00:00,2100-01-01 00:00:00,271243.0
MISI,"Minister of Innovation, Science and Industry","Ministre de l'Innovation, des Sciences et de l'Industrie",Navdeep Bains,"Bains, Navdeep (Hon.)","Bains, Navdeep (L’hon.)",2019-11-20 15:00:00,2021-01-12 23:59:59,253394.0
MIT,Minister of International Trade,Ministre du Commerce international,Mary Ng,"Ng, Mary (Hon.)","Ng, Mary (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253401.0
MITEPSBED,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Ministre du commerce international, de la promotion des exportations, de la petite entreprise et du développement économique",Mary Ng,"Ng, Mary (Hon.)","Ng, Mary (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278924.0
MJ,Minister of Justice,Ministre de la Justice,Arif Virani,"Virani, Arif (Hon.)","Virani, Arif (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,299999.0
MJ,Minister of Justice,Ministre de la Justice,David Lametti,"Lametti, David (Hon.)","Lametti, David (L’hon.)",2019-01-14 10:00:01,2023-07-26 10:29:59,278945.0
ML,Minister of Labour,Ministre du Travail,Seamus O'Regan,"O'Regan, Seamus (Hon.)","O'Regan, Seamus (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278925.0
ML,Minister of Labour,Ministre du Travail,Filomena Tassi,"Tassi, Filomena (Hon.)","Tassi, Filomena (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253379.0
MLS,Minister of Labour and Seniors,Ministre du travail et des aînés,Seamus O'Regan,"O'Regan, Seamus (Hon.)","O'Regan, Seamus (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300027.0
MMCP,Minister of Middle Class Prosperity,Ministre de la Prospérité de la classe moyenne,Mona Fortier,"Fortier, Mona (Hon.)","Fortier, Mona (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253398.0
MMHA,Minister of Mental Health and Addictions,Ministre de la santé mentale et des dépendances,Ya'ara Saks,"Saks, Ya'ara (Hon.)","Saks, Ya'ara (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300007.0
